"region_sido","region_sigungu","hospital_type","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"경북","포항시 남구","병원",TRUE,2015,18,243608.5,2.27777777777778,2.71428571428571,2,-0.178571428571445,8.66993441422529e-18,0.178571428571445,-0.00505181401429359,1.52260167977709e-16,0.00505181401429374,NA,NA
"경북","포항시 남구","의원",TRUE,2015,18,243608.5,98.9444444444444,90.8571428571429,104.090909090909,1.32142857142868,1.5272727272727,0.205844155844024,2.57842509839271,-0.694116982787331,-3.27254208118004,NA,NA
"경북","포항시 남구","종합병원",TRUE,2015,18,243608.5,2.5,2,2.81818181818182,1.16754208210315e-17,0.0818181818181826,0.0818181818181826,3.53561199551613e-17,0.259591260575199,0.259591260575199,NA,NA
"경북","포항시 북구","병원",TRUE,2015,18,270790.5,9.83333333333333,10.7142857142857,9.27272727272727,-0.178571428571453,-0.454545454545462,-0.275974025974009,-0.770899961413261,-0.471679056318426,0.299220905094834,NA,NA
"경북","포항시 북구","의원",TRUE,2015,18,270790.5,160.555555555556,144.571428571429,170.727272727273,1.28571428571422,1.48181818181816,0.196103896103936,-0.0909865227658392,1.52659048985236,1.6175770126182,NA,NA
"경북","포항시 북구","종합병원",TRUE,2015,18,270790.5,2.22222222222222,2.28571428571429,2.18181818181818,-3.49821219539199e-14,-0.0818181818181807,-0.0818181818181457,1.15440638707822,-0.0769964715410795,-1.2314028586193,NA,NA
"광주","광산구","병원",TRUE,2015,18,397011,15.3888888888889,13.5714285714286,16.5454545454545,1.82142857142837,0.0363636363636305,-1.78506493506474,0.432617939097175,0.252723619995799,-0.179894319101377,NA,NA
"광주","광산구","의원",TRUE,2015,18,397011,187.5,162.142857142857,203.636363636364,5.00000000000087,4.4727272727273,-0.527272727273561,0.37593841456912,4.62705122411791,4.25111280954879,NA,NA
"광주","광산구","종합병원",TRUE,2015,18,397011,5.88888888888889,5.28571428571429,6.27272727272727,0.178571428571465,0.109090909090908,-0.0694805194805573,0.516296603157305,0.037096019479818,-0.479200583677487,NA,NA
"광주","남구","병원",TRUE,2015,18,216311.5,10.7222222222222,7.71428571428571,12.6363636363636,0.464285714285743,0.00909090909091497,-0.455194805194828,0.735845954823979,0.889599543256178,0.153753588432199,NA,NA
"광주","남구","의원",TRUE,2015,18,216311.5,122.111111111111,106.857142857143,131.818181818182,1.21428571428571,4.50909090909089,3.29480519480518,0.904729488742889,2.60932058337952,1.70459109463663,NA,NA
